Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,@Scan_PCBA_SN,common.get_scan_sn,[[scanned_sn]],,,,,,,,,
,Fixture,Info,@Check_UOP,common.check_uop,[[[scanned_sn]]],,5000,,,,,,Y,
,Fixture,Info,@Get_MAC_INFO,common.query_mac_by_sn,[[scanned_sn]],[[mes_info]],5000,,,,,,,
,Fixture,Info@MACCODE,MACCODE,common.get_value_by_key,[[mes_info]],[[mac_address]],3000,,,,,,,
,Fixture,Info@LICENSE_KEY,LICENSE_KEY,common.get_value_by_key,[[mes_info]],[[LICENSE_KEY]],3000,,,,,,,
,Fixture,Info@APTX_LICENSE_KEY,APTX_LICENSE_KEY,common.get_value_by_key,[[mes_info]],[[APTX_LICENSE_KEY]],3000,,,,,,,
,Fixture,Info,Station_ID,common.station_id,[[station_id]],,5000,,,,,,,
,Fixture,Info,Delay_After_Station_ID,common.delay,1000,,20000,,,,,,,
,Fixture,Info,@Get_BMT_Version,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'(.*)'}",,50000,,4.0.0-1225+ff003d5,4.0.0-1225+ff003d5,,,,
,Fixture,Info,@Get_TestEngine_Version,common.run_bmt_cmd,"{'cmd_key':'GET_TESTENGINE_VERSION', 'parse_pattern':'TestEngineApp.exe (.+\+\w+)'}",,50000,,3.1.1+ba7485d,3.1.1+ba7485d,,,,

,FCT,Power_Rail,@Power_ON,common.dut_power_on,8000,,20000,,--PASS--,--PASS--,,,,
,FCT,Power_Rail,Relay_Connect_DMM_VIN1_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['DMM_VIN1_SEL_SW']}",,,,,,,,,
,FCT,Power_Rail,@VOLT_MEAS_DUT_QCC_1V8,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_DUT_QCC_1V8', 0.2]}",,5000,,1700,1900,mV,,,
,FCT,Power_Rail,@VOLT_MEAS_DUT_QCC_MIC_BIAS,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_DUT_QCC_MIC_BIAS', 0.2, 55]}",,5000,,0,200,mV,,,
,FCT,Power_Rail,@VOLT_MEAS_DUT_QCC_MIC_1_P,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_DUT_QCC_MIC_1_P', 0.2, 56]}",,5000,,0,800,mV,,,
,FCT,Power_Rail,@VOLT_MEAS_DUT_VPU_PDM_CLK,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_DUT_VPU_PDM_CLK', 0.2, 57]}",,5000,,0,100,mV,,,
,FCT,Power_Rail,@VOLT_MEAS_DUT_VPU_PDM_DAT,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_DUT_VPU_PDM_DAT', 0.2, 58]}",,5000,,0,100,mV,,,

,FCT,BMT_DIAGS,@Read_PCBA_SN,common.run_bmt_cmd,"{'cmd_key':'READ_USB_SN', 'cmd_args':[[[scanned_sn]]], 'expect_keyword':'SerialNumberID=USB', 'parse_pattern':'SerialNumber=(\w+)', 'Timeout':5000}",[[Read_SN]],20000,,,,,,,
,FCT,BMT_DIAGS,@Compare_SN,common.compare_sn,"[[[scanned_sn]], [[Read_SN]]]",,5000,,--PASS--,--PASS--,,,,
,FCT,BMT_DIAGS,@CHECK_STATION_FLAG,common.run_bmt_cmd,"{'cmd_key':'CHECK_WRITE_STATION_FLAG', 'cmd_args':[[[scanned_sn]]], 'parse_pattern':'(Station1Status=\w+)', 'Timeout':5000}",,20000,,Station1Status=Pass,Station1Status=Pass,,,,
,FCT,BMT_DIAGS,@Read_Diags_FW,common.run_bmt_cmd,"{'cmd_key':'FW_VERSION', 'cmd_args':[[[scanned_sn]]], 'expect_keyword':'ProductInfo.FirmwareVersion.Status Version', 'parse_pattern':'Version=(.+)\s', 'Timeout':5000}",,20000,,0.0.8+gcaa59b9,0.0.8+gcaa59b9,,,,

,FCT,MIC1_TEST,CONNECT_AUDIO_INPUT_SEL_SW_DUT_AMP,common.rpc_call,"{'func':'mixdevice.relay', 'args':['AUDIO_INPUT_SEL_SW_DUT_AMP']}",,5000,,,,,,,
,FCT,MIC1_TEST,Delay_After_SW_DUT_AMP,common.delay,1000,,20000,,,,,,,
,FCT,MIC1_TEST,@MIC1_DISABLE,common.run_bmt_cmd,"{'cmd_key':'MIC1_DISABLE', 'cmd_args':[[[scanned_sn]]], 'parse_pattern':'(MicToRouteResp=\w+)', 'Timeout':5000}",,60000,,MicToRouteResp=None,MicToRouteResp=None,,,,
,FCT,MIC1_TEST,@VPU_DISABLE,common.run_bmt_cmd,"{'cmd_key':'VPU_DISABLE', 'cmd_args':[[[scanned_sn]]], 'parse_pattern':'(MicToRouteResp=\w+)','Timeout':5000}",,60000,,MicToRouteResp=None,MicToRouteResp=None,,,,
,FCT,MIC1_TEST,@MIC1_Enable,common.run_bmt_cmd,"{'cmd_key':'MIC1_ENABLE', 'cmd_args':[[[scanned_sn]]], 'parse_pattern':'(MicToRouteResp=\w+)','Timeout':5000}",,60000,,MicToRouteResp=Mic0,MicToRouteResp=Mic0,,,,
,FCT,MIC1_TEST,CONNECT_SPEAK_SEL_SW_SPEAK2,common.rpc_call,"{'func':'mixdevice.relay', 'args':['SPEAK_SEL_SW_SPEAK2']}",,5000,,,,,,,
,FCT,MIC1_TEST,Set_Audio_Volume_Mute,common.rpc_call,"{'func':'mixdevice.audio_volume', 'args':[10]}",,5000,R,,,,,,
