Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,FCT,Info,@Get_BMT_Version,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'BMT: (.*),'}",,50000,,5.1.0-1286+e381751,5.1.0-1286+e381751,,,,BMT
,FCT,Info,@Get_TestEngine_Version,common.run_bmt_cmd,"{'cmd_key':'GET_TESTENGINE_VERSION', 'parse_pattern':'TestEngineApp.exe (.+\+\w+)'}",,50000,,3.1.1+ba7485d,3.1.1+ba7485d,,,,TestEngine
,FCT,Info,@Power_ON,common.dut_power_on,8000,,20000,,--PASS--,--PASS--,,,,PSU Module
,FCT,Power_Rail,Relay_Connect_DMM_VIN1_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['DMM_VIN1_SEL_SW']}",,,,,,,,,
,FCT,Power_Rail,@VCHG_Voltage_Measurement,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_DUT_VCHARGE_SNS', 0.2]}",,5000,,4900,5100,mV,,,DMM Module
,FCT,Power_Rail,@QCC_1V8_Volt,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_BUD_TP38_QCC_1V8', 0.2]}",,5000,,1700,1900,mV,,,DMM Module
,FCT,Power_Rail,@QCC_MIC_BIAS_Volt,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_BUD_TP53_QCC_MIC_BIAS_SPEAK', 0.2]}",,5000,,0,400,mV,,,DMM Module
,FCT,Power_Rail,@BATT_TEMP_BIAS_Volt,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_BUD_TP50_BATT_TEMP_BIAS', 0.2]}",,5000,,-10,10,mV,,,DMM Module
,FCT,Power_Rail,@THERMISTOR_Volt,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_BUD_TP49_THERMISTOR', 0.2]}",,5000,,-10,10,mV,,,DMM Module
,FCT,Info,@Get_USB_Serial_Number,common.run_bmt_cmd,"{'cmd_key':'READ_USB_SN_2', 'parse_pattern':'USBSerialNumberString=.([\w\s]+).'}",[[scanned_sn]],30000,,,,,,Y,BMT
,FCT,Info,@Get_SN_MES_INFO,common.check_uop,[[[scanned_sn]]],,15000,,,,,,Y,MES
,FCT,Info,@Get_MAC_INFO,common.query_mac_by_sn,[[scanned_sn]],[[mes_info]],15000,,,,,,,MES
,FCT,Info@MACCODE,MACCODE,common.get_value_by_key,[[mes_info]],[[mac_address]],3000,,,,,,,MES
,FCT,Info,Station_ID,common.station_id,[[station_id]],,5000,,,,,,,

,FCT,BMT_DIAGS,@Start_BMT_Server,common.start_bmt_server,"{'sn':[[scanned_sn]] }",,20000,,--PASS--,--PASS--,,,,BMT
,FCT,BMT_DIAGS,@Send_Mutil_CMD_DUT_INFO,common.bmt_client_mutil_send,"{'cmd_list':['CHECK_WRITE_STATION', 'FW_VERSION', 'MIC1_DISABLE', 'VPU_DISABLE', 'MIC1_ENABLE'], 'Timeout':10000}",,40000,R,--PASS--,--PASS--,,,,BMT
,FCT,BMT_DIAGS,@CHECK_STATION_FLAG,common.parse_client_resp,"{'cmd_key':'CHECK_WRITE_STATION', 'parse_pattern':'(Station1Status=\w+)', 'Timeout':5000}",,20000,,Station1Status=Pass,Station1Status=Pass,,,,BMT
,FCT,BMT_DIAGS,@Read_Diag_FW_Version,common.parse_client_resp,"{'cmd_key':'FW_VERSION', 'expect_keyword':'ProductInfo.FirmwareVersion.Status Version', 'parse_pattern':'Version=([\w\.\+-]+)', 'Timeout':5000}",,20000,,0.0.1-4+g5e20970,0.0.1-4+g5e20970,,,,BMT

,FCT,MIC1_TEST,@MIC_Disable,common.parse_client_resp,"{'cmd_key':'MIC1_DISABLE', 'parse_pattern':'(MicToRouteResp=\w+)', 'Timeout':5000}",,60000,,MicToRouteResp=None,MicToRouteResp=None,,,,BMT
,FCT,MIC1_TEST,@VPU_Disable,common.parse_client_resp,"{'cmd_key':'VPU_DISABLE', 'parse_pattern':'(MicToRouteResp=\w+)','Timeout':5000}",,60000,,MicToRouteResp=None,MicToRouteResp=None,,,,BMT
